book_title,book_author,book_translator,book_pub_date,book_isbn
리얼 블라디보스톡  PLUS 우수리스크 [2019~2020년 최신판],강한나 ,,2018-10-22,9791188007196
처음 시작하는 R 데이터 분석,"강전희 , 엄동란 ",,2018-10-05,9791162241202
"SWedu, 앱 인벤터",이종원 ,,2018-06-04,9791156643968
이것이 C#이다,박상현 ,,2018-07-01,9791162240861
머신러닝 실무 프로젝트,"아리가 미치아키(有賀 康顕) , 나카야마 신타(中山 心太) , 니시바야시 다카시(西林 孝) ",심효섭 ,2018-06-05,9791162240816
Head First Android Development : 개념과 구조를 머릿속에 그려주는 안드로이드 개발 입문서(개정판),"돈 그리피스 , 데이비드 그리피스 ",우정은 ,2018-07-15,9791162240953
나의 첫 안드로이드 : 처음 시작하는 개발자를 위한,한동호 ,,2018-07-16,9791162240960
D-30 단기합격 솔루션 전기산업기사 필기 핵심 이론 & 엄선된 필수 기출문제 558선(개정판),김상훈 ,,2018-04-12,9791156643586
고객이 보이는 구글 애널리틱스,문준영 ,,2018-06-15,9791162240878
R로 배우는 데이터 분석 기본기 데이터 시각화 : 예제와 함수 중심으로 배우는 빅데이터 분석,후나오 노부오 ,김성재 ,2014-01-02,9788968480645
그것이 R고 싶다,양중기 ,,2018-07-09,9791162240885
처음 배우는 암호화,장필리프 오마송 ,류광 ,2018-07-20,9791162240977
Hello Coding 한입에 쏙 파이썬,"김왼손 , 김태간 ",,2018-06-20,9791162240854
허팝과 함께하는 유튜브 크리에이터 되기,"허팝 , 강전희 , 안정기 ",,2017-09-28,9791162240007
Hello Coding 프로그래밍,Pope Kim ,,2018-01-02,9791162240342
Head First C# : 상상을 초월하는 객체지향 C# 학습법(개정3판),"앤드류 스텔만 , 제니퍼 그린 ",최길우 ,2015-02-27,9788968481659
다른 그림 찾기,엘리자베스 골딩 ,,2018-09-19,9791162241172
처음 배우는 머신러닝,"김승연 , 정용주 ",,2017-10-01,9791162240045
지금 당장 원자재 공부 시작하라,"윤채현 , 정용구 ",,2009-12-28,9788994120010
런던 비즈니스 산책,박지영 ,,2013-11-02,9788994120706
지금 당장 환율공부 시작하라 2,윤채현 ,,2013-01-14,9788994120515
데이터 시각화를 위한 데이터 인사이트 : 빅데이터를 바라보는 통찰의 눈,헌터 휘트니 ,한선용 ,2014-04-18,9788968480942
파이썬 라이브러리를 활용한 데이터 분석(수정보완판),웨스 맥키니(Wes Mckinney) ,김영근 ,2013-10-26,9788968480478
Head First Data Analysis : 당신을 최고의 데이터 분석가로 이끌어줄 마법 같은 학습서,마이클 밀튼 ,김경태 ,2013-04-11,9788968480119
지금 당장 환율공부 시작하라(개정판),"윤채현 , 박준민 ",,2010-04-10,9788994120034
웹 데이터 수집의 기술,타쿠로 사사키 ,김경록 ,2017-08-15,9788968489990
미친 세상에서 용감하게 살아가기,로버트 비스워스-디너 ,민지영 ,2013-01-08,9788994120508
톡톡 창의력 그림 찾기,창의수학연구소 ,,2016-04-15,9788968484483
경제학자의 영화관,박병률 ,,2012-12-26,9788994120492
비즈니스 활용 사례로 배우는 데이터 분석:R,"사카마키 류지 , 사토 요헤이 ",손정도 ,2015-10-28,9788968482113
톡톡 창의력 그림 찾기 플러스,창의수학연구소 ,,2017-05-05,9788968488108
처음 배우는 데이터 과학,필드 케이디 ,최근우 ,2018-02-19,9791162240472
텐서플로 첫걸음,조르디 토레스 ,박해선 ,2016-08-29,9788968484902
Hello Coding 그림으로 개념을 이해하는 알고리즘,아디트야 바르가바 ,김도형 ,2017-04-01,9788968483547
엔지니어를 위한 데이터 시각화 :  D3.js로 배우는 데이터 시각화 이론과 12가지 사례,"모리후지 다이치 , 안티베이지안 ",김성재 ,2015-04-27,9788968481918
Hello Coding 파이썬,윤인성 ,,2018-01-02,9791162240274
파이썬 데이터 분석 입문,클린턴 브라운리 ,"한창진 , 이병욱 ",2017-10-25,9791162240144
헬로 데이터 과학 : 삶과 업무를 바꾸는 생활 데이터 활용법,김진영 ,,2016-02-23,9788968482656
비즈니스를 위한 데이터 과학 : 빅데이터를 바라보는 데이터 마이닝과 분석적 사고,"포스터 프로보스트 , 톰 포셋 ",강권학 ,2014-06-24,9788968481093
톡톡 창의력 미로 찾기,창의수학연구소 ,,2016-04-15,9788968484490
골빈해커의 3분 딥러닝,김진중(골빈해커) ,,2017-09-25,9791162240137
톡톡 창의력 놀이대장 세트(전 5권),창의수학연구소 ,,2016-10-10,9788968484551
신경망 첫걸음,타리크 라시드 ,송교석 ,2017-04-03,9788968483509
파이썬을 활용한 베이지안 통계: 동전 던지기와 하키 승률로 배우는 데이터 분석,앨런 B. 다우니 ,권정민 ,2014-07-14,9788968481147
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ","윤영민 , 허선 , 전희주 , 김정일 , 류자현 ",2014-10-28,9788968481352
9가지 사례로 익히는 고급 스파크 분석,"샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ","서양주 , 권한철 , 박상은 ",2016-07-01,9788968482892
"(꼬마해커의 작업실, 수프) 스크래치 알고리즘 : 초등학생도 볼 수 있는 가장 쉬운 알고리즘",김종훈 ,,2014-11-12,9788968481390
나의 첫 파이썬,에릭 마테스 ,한선용 ,2017-05-01,9788968483561
모던 웹을 위한 Node.js 프로그래밍 3판,윤인성 ,,2016-07-01,9788968482946
경제학자의 문학살롱,박병률 ,,2014-05-26,9788994120805
SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,아사이 아츠시 ,박준용 ,2015-10-26,9788968482311
"Head First Python, 개정판",폴 배리 ,우정은 ,2017-12-04,9791162240281
톡톡 창의력 선 긋기,창의수학연구소 ,,2015-12-09,9788968484025
데이터 분석을 통한 네트워크 보안 : IoT 시대에 맞는 상황 인식형 보안 구축하기,마이클 콜린스 ,문성건 ,2016-03-28,9788968482588
모던 웹을 위한 JavaScript + jQuery 입문(3판),윤인성 ,,2017-05-01,9788968483554
톡톡 창의력 종이접기,창의수학연구소 ,,2016-04-15,9788968484506
누워서 읽는 알고리즘: 프로그래밍 상상력을 키워주는 알고리즘 이야기,임백준 ,,2015-10-16,9788968482274
"IT CookBook, HTML5 웹 프로그래밍 입문(개정판)",윤인성 ,,2016-12-26,9791156643074
"IT CookBook, 자바스크립트 프로그래밍 입문",윤인성 ,,2016-12-15,9791156642787
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV1. 모두를 위한 파이썬 기초",크리스 로피 ,유형목 ,2015-08-26,9788968482168
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,,2013-08-21,9788998756543
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문",크리스 로피 ,"이지호 , 유형목 ",2015-08-26,9788968482175
톡톡 창의력 색칠하기,창의수학연구소 ,,2015-12-09,9788968484018
SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,미크 ,윤인성 ,2016-01-22,9788968482519
실시간 분석의 모든 것: 스트리밍 데이터 분석 및 시각화 시스템 구축 가이드,바이런 엘리스 ,이상훈 ,2015-12-11,9788968482298
톡톡 창의력 알파벳 쓰기,창의수학연구소 ,,2015-12-09,9788968484049
"모던 웹 디자인을 위한 HTML5+CSS3 입문, 개정판",윤인성 ,,2015-01-19,9788968481611
톡톡 창의력 숫자 쓰기,창의수학연구소 ,,2015-12-09,9788968484032
톡톡 창의력 한글 쓰기 기초 낱말,창의수학연구소 ,,2016-08-31,9788968484537
Head First Programming : 파이썬으로 처음 배우는 프로그래밍,"폴 배리 , 데이빗 그리피스 ",강권학 ,2011-03-17,9788979148190
팟캐스트 나는 프로그래머다 2탄,"임백준 , 정도현 , 김호광 ",,2016-06-23,9788968482908
임백준의 아카 시작하기 : Akka 개념 잡기,임백준 ,,2015-10-29,9788968487897
행복한 프로그래밍(개정판),임백준 ,,2016-11-18,9788968484704
이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 ,,2014-07-10,9791156641223
"Blog2Book, 아는 만큼 보이는 데이터베이스 설계와 구축",이춘식 ,,2008-07-04,9788979145571
대학생을 위한 파이썬 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,크리스 로피 ,"이지호 , 유형목 ",2016-01-26,9788968482540
"(10대를 위한 프로그래밍 노트, 수프) 프로그래밍 비타민 : 컴퓨팅 사고력을 키우는 22가지 이야기",김종훈 ,,2015-07-28,9788968482106
데이터베이스 첫걸음,"미크 , 기무라 메이지 ",박주항 ,2016-10-10,9788968487316
Head First PHP & MySQL: 효과적이고 생동감 넘치는 웹 애플리케이션 만들기,"린 베일리 , 마이클 모리슨 공저 ",홍승표 ,2010-05-07,9788979147391
